"
                            فروش و نصب انواع ایزوگام، قیرگونی، آسفالت و محوطه سازی، فروش انواع قیر ساختمانی و صنعتی
                            
",محمدرضا رحیمی,55080570,09123256188-09391256188,منطقه 16,"
                           خزانه بخارایی، فلکه دوم عباسی، خ امیرغربی،   پلاک: 98 
                        ",,
"
                            خریدوفروش -رهن واجاره-مشارکت درساخت
                            
",امید  سیف لاری,88686088 -88686263,9123270782,منطقه 2,"
                           سعادت آباد -پل مدیریت -ابتدای خ علامه طباطبایی جنوبی   پلاک: 10 
                        ",,
"
                            ذوب - ری - انگ - تعویض طلای شکن یا آبشده - دارای مجوز ذوب از اتحادیه طلا و جواهر تهران باکد1020
                            
",محمدرضا میرزایی,55580022,9192007670,منطقه 12,"
                           15خرداد، بازار بزرگ، کوچه تکیه دولت، مقابل پاساژ اعتضادی  پلاک: 38 
                        ",,دارد
"
                            توليد كننده تابلوهاي تبليغاتي ، تابلو روان تابلو LED ثابت ، تابلو چلنیوم ، حروف برجسته ، تابلو فلکس ، اجرای نمای کامپوزیت ، خدمات لیزر
                            
",رضا ناصری,88414776,9121393000,منطقه 8,"
                           خیابان سبلان شمالی کوچه ریوندی  پلاک: 201 
                        ",دارد,دارد
"
                            فرش دست بافت
                            
",دکتر هرمز  حیدرزاده,88829744-55621898,9121143860,منطقه 12,"
                           بازار بزرگ سبزه میدان بازار کفاشها سرای رحیمیه اول   پلاک: 24 طبقه اول 
                        ",دارد,دارد
"
                            مرکز زیبائی
                            
",,22986219,0,منطقه 4,"
                           پاسداران، میدان هروی، برج هروی  پلاک: 8 طبقه اول 
                        ",,
"
                            تعمیرات کفش
                            
",قربانعلی احمدیان,22670967,,منطقه 1,"
                           چیذر، خ هاشمی علیا، خ پارس  پلاک: 4 
                        ",,
"
                            سبزی خورد کنی - عرضه ترشیجات خانگی - انواع سفارشات از رستورانها و آشپزخانه ها پذیرفته می شود - با سریوس رایگان
                            
",علی فرزانه,22933177,,منطقه 4,"
                           لویزان - خ شهید شاه رضایی - روبروی آژانس شیان  پلاک: 111 
                        ",,
"
                            آموزش انواع ساز های ایرانی و کلاسیکآموزش ارف کودکاناساتید خانم و آقا
                            
",علیرضا پاشا,77521620-77606861,9123388506,منطقه 7,"
                           خ نامجو (گرگان) - ایستگاه مدرسه - ساختمان داروخانه امداد  پلاک: 547 طبقه اول - واحد3 
                        ",دارد,
"
                            نمایندگی رسمی فروش محصولات شرکت تولیدی صنعتی گازسوزان

",محمدمهدی  مشهدی ابوالقاسم,33939632-33970284,9126021453,منطقه 12,"
                           خیام شمالی، روبروی پارک شهر،  کوچه روحی - کوچه قرض الحسنه  پلاک: 29 
                        ",,دارد
"
                            عطاری
                            
",سعید برازنده نژاد,22916130,,منطقه 7,"
                           خ شریعتی - بالاتراز خ یخچال  پلاک: 1478 
                        ",,
"
                            سازنده تخصصی انواع تندیس
                            
",طباطبایی,33932078,,منطقه 12,"
                           خیابان پامنار، روبروی مسجد کاشانی  پلاک: 269 
                        ",,
"
                            فروش قهوه
                            
",محمد نصیری,88497655,9125005677,منطقه 6,"
                           ضلع شمال غربی میدان ولیعصر، مرکز خرید پردیس طبقه زیر همکف واحد 38 
                        ",دارد,
"
                            وکیوم، CNC، برش
                            
",شعبانی,77450998,9125372445,منطقه 4,"
                           خیابان هنگام، سی متری دوم  پلاک: 476 
                        ",,
"
                            دفتر ازدواج رسمی
                            
",محمد حسن  مراد پوری طلائی,22595185-22773980-09121023188,,منطقه 3,"
                           پاسداران - نبش بوستان دهم   پلاک: 313 
                        ",,
"
                            سفارشات گلدوزی و چاپ-آرم-سرویس جهیزیه عروس-پرچم های ملی و مذهبی
                            
",فریبرز حجرالاوسط,33970905-33970890-09121246873-33911516,,منطقه 12,"
                           ناصر خسرو-مقابل تیمچه صدر اعظم  پلاک: 30 
                        ",,
"
                            کابینت های مدرن - دکوراسیون داخلی - اداری -مسکونی - سرویس خواب -سیسمونی -خدمات برش و بدنه MDF -مجهز به دستگاه لبه چسبان P.V.C
                            
",مجید  تقی خانی,76344045,9123121460,حومه تهران,"
                           گیلاوند -روبروی شهربازی -نبش خ ولیعصر  
                        ",,
"
                            تعمیرات و سنگ تراشی و عقیق تراشی، سازنده نقره
                            
",اصغر صابری,55982087,9124978385,منطقه 12,"
                           بازار، مسجد امام، جلوخان شمالی پاساژ شناور طبقه 1+  پلاک: 41 
                        ",,
"
                            تعمیرات کفش
                            
",بهارعلی  دهقان پور,33111871,,منطقه 12,"
                           سعدی شمالی - خ صف  - جنب گرمابه کوچه جابر زاده  پلاک: 18 
                        ",,
"
                            تأمین کننده متریال صنایع 
                            
                            •	تأمین انواع میلگرد، تیرآهن، نبشی، ورق سیاه و صنعتی، ورق های آلیاژی خاص، لوله های مانیسمان و درزدار، هاش، استنلس استیل، انواع آهن آلات صنعتی و ساختمانی از مبادی داخلی و وارداتی.•	تأمین کننده متریال های فلزی صنایع نفت، گاز، پتروشیمی و پالایشگاهی، صنایع دفاعی، صنایع فولاد و خودرو سازی، پروژه های عمرانی و ساختمانی، سد سازی، صنایع دریایی، راهسازی و ...•	امکان فروش به صورت نقدی، اعتباری، اقساطی •	ارایه فاکتور رسمی معتبر (ارزش افزوده)•	حمل و نقل امن و مطمئن با قیمت مناسب در کمترین زمان و ارسال به تمام کشور•	در اختیار داشتن انبار وسیع آهن آلات و دارای شعبه در مجتمع صنعتی بازارآهن شادآباد•	انجام خدمات برش پلاسما و CNC بر روی کلیه ورق های فولادی
",علی سلیمانی,44024539 - 44024563 -66673940,,منطقه 18,"
                           بازار آهن غرب تهران(شادآباد)، بلوک خرداد  پلاک: 103 و 104 
                        ",,دارد
"
                            عرضه کننده انواع چتائی و گونی-قیر-مشمع قیراندود-پشم شیشه گونی نمیا- کیسه نایلون- رابیتس-ایزوگام
                            
",محمدحسن حاجی حسینی,33927537,,منطقه 12,"
                           خ پامنار کوچه حاجیها  پلاک: 21 
                        ",,
"
                            خدمات مجالس 
                            
",,22318154,,منطقه 4,"
                           بزرگراه رسالت بین 16متری اول واستاد حسن بنا  کوچه شاهین   پلاک: 1 
                        ",,
"
                            تامین تجهیرات صنایع(تست و کالیبراسیون، ابزار دقیق و کنترل)
                            
",محسن میرزاقلی پور,33999635,9128898827,منطقه 12,"
                           خ لاله زار جنوبی کوچه بوشهری پاساژ تهران الکتریک طبقه سوم  پلاک: 407 
                        ",دارد,دارد
"
                            کارشناسی، مشاوره و صدور انواع بیمه نامه، صدور بیمه های عمر، حوادث، سرمایه گذاری، آتش سوزی، مسئولیت، بدنه، شخص ثالث، اقساط و کوتاه مدت(2، 4، 6 ماهه)، اقساط با شرایط ویژه
                            
",رضا شاه علی,77175641,9122247106,منطقه 14,"
                           پیروزی، چهارراه کوکاکولا، ابتدای نبرد شمالی، پاساژ الماس، طبقه اول، واحد 24 
                        ",,
"
                            تولید تجهیزات آشپزخانه صنعتی
                            
",بهرام شبستری,33555172-09121022407,,منطقه 12,"
                           خ شهید مصطفی خمینی - پایین تراز چهارراه سیروس - روبروی سید اسماعیل - نبش کوچه فرهود  پلاک: 149/1 
                        ",دارد,دارد
"
                            تولیدکننده انواع مجسمه - لوازم و سفره عقد و هفت سین و گلدان های تزئینی
                            
",شهرام یوسفی,88226014- 88226309,,منطقه 6,"
                           ولیعصر - تقاطع طالقانی  پاساژ نور تهران طبقه همکف سوم - واحد 8003 
                        ",,
"
                            وکیل پایه یک دادگستری و مشاور حقوقی
                            
",حمید سقه سری,44411152,9121711782,منطقه 5,"
                           ضلع جنوب غربی میدان پونک، ساختمان شیشه ای  پلاک: 218 طبقه 4 واحد 13
                        ",,
"
                            کافه
                            
",عباس  عبدالمالکی,77708566-77719377,9123783436,منطقه 8,"
                           تهرانپارس، بالاتر از فلکه اول ، نرسیده به چهارراه تیرانداز، نبش 156 غربی  پلاک: 90 
                        ",,
"
                            ترجمه متون و مدارک به کلیه زبان ها
                            
",شهاب ناصری,88970496,,منطقه 6,"
                           م فاطمی - ابتدای خ شهید گمنام  پلاک: 8(17قدیم) طبقه 2 واحد 3
                        ",,
"
                            عرضه یراق آلات کیف وکفش(از تولید به مصرف)
                            
",محمد توکلی,55805991,9123068015,منطقه 12,"
                           بازار، پاچنار کوچه فراش باشی  پلاک: 103 
                        ",,
"
                            طرح و اجرا کلیه خدمات برودتی و حرارتی
                            
",نعیم نور علی,22513194,9123597974,منطقه 4,"
                           بزرگراه رسالت، خ استادحسن بنا شمالی، بالاتر از آتش نشانی  پلاک: 633 
                        ",,
"
                            اسباب بازی
                            
",رسول رحمتی,33818741,9124753401,منطقه 15,"
                           بیست متری افسریه، پانزده متری سوم، نبش پاساژ کویتی ها  پلاک: 445 
                        ",,
"
                            پارچه فروشی 
                            
",محمود  رحمانی,44229941,,منطقه 2,"
                           فلکه اول صادقیه - ابتدای ستارخان -نرسیده به چ اسدی  پاساژ پردیسان  طبقه زیرهمکف  پلاک: 14 
                        ",,
"
                            رگال و مانکن
                            
",رمضانی,33904660,,منطقه 12,"
                           15 خرداد- نبش پامنار  پلاک: 425 
                        ",,
"
                            روشنایی
                            
",مهدی نیکبخت,33119071-33989581,9127099319,منطقه 12,"
                           لاله زار نو پاساژ پیرنیا  پلاک: 10 و 11 
                        ",,
"
                            فروش و تعمیر دستگاه های برش آلومینیوم
                            
",خداداد و محمود نوروزی,55673507,09191107123-09120417123-09125020755,منطقه 17,"
                           خیابان قزوین، خیابان قلعه مرغی  پلاک: 215 
                        ",,
"
                            بانک آینده
                            
",,۸۸۳۶۰۹۲۲-۸۸۰۹۴۸۷۵-۸۸۰۹۴۶۶۸,,منطقه 2,"
                           شهرک قدس(غرب)، خیابان درختی، نبش خیابان سوم 
                        ",,
"
                            طراحی ونقاشی
                            
",حمید محرمی,44258692,,منطقه 2,"
                           صادقیه بین ف اول و دوم خ بلوارشهدای صادقیه  کوچه مرودشت   پلاک: 2 
                        ",,
"
                            شرکت پشم بافی 
                            
",فریدون  حریری,88532174,,منطقه 6,"
                           خ بخارست ساختمان طلا واحد 4 و 5  پلاک: 49 طبقه 2 
                        ",,
"
                            آموزشگاه رانندگی، مدارک ثبت نام:1-اصل شناسنامه و کارت ملی و کپی از هردو(در صورت داشتن توضیحات شناسنامه کپی الزامیست)، 2-تعداد 8 قطعه عکس 4*3رنگی جدید(عکس شناسنامه و کارت ملی نباشد تمام رخ بدون عینک و رو به دوربین با زمینه سفید-آقایان:بدون ریش و موی فردار، پیشانی و گوشها کاملا مشخص، لباس تیره بدون طرح-خانمها:بدون آرایش، گردی صورت کاملا مشخص، لباس و مقنعه تیره بدون طرح، 3-آقایان:اصل کارت پایان خدمت و کپی پشت و رو، گواهی اشتغال به تحصیل یا خدمت با شرایط اعلامی
                            
",داوود قادری,88952532-88958407,,منطقه 6,"
                           خ فاطمی، روبروی وزارت کشور  پلاک: 52 طبقه چهارم 
                        ",,
"
                            باشگاه ورزشی آقایان و بانوان - صبح ها خانم ها و بعد از ظهرها آقایان - بدنسازی و کار با دستگاه های پیشرفته روز دنیا - تناسب اندام - فیتنس - ایروبیک مبتدی و پیشرفته - ایروبیک کودکان(با مربی درجه یک اکراینی) - ژیمناستیک و باله - یوگا - زومبا - در محیطی شاد  و دوستانه -زیر نظر مربیان مجرب و باتجربه همراه با برنامه ورزشی - برنامه کاهش و افزایش وزن - رژیم غذایی - مشاوره رایگان - با مدیریت بخش خانمها: خانم سارا خلج زمان تلفن: 09194002207 
                            
",محمدرضا  خلج زمان,76293749,9127273017,حومه تهران,"
                           پردیس - م عدالت - جنب بانک مسکن - طبقه زیرهمکف برج آسمان 
                        ",,
"
                            لوازم گازسوز
                            
",سیدحمزه مطهری,33131219,9124496004,منطقه 12,"
                           مولوی، خیابان صاحب جمع  پلاک: 21 
                        ",,
"
                            جوشکاری ارگون استقلال جوش الومینیم استیل برنج و...تابگیری وجوش رینگهای الومینیمو قطعات خودروجوش قالبهاومخازن استیل وانجام سری کاریها حتی در محلمشاوره در شناسایی قطعات و روش ساخت
                            
",محمدرضا وطن دوست   منصور ستوده فر,77384210-09122163861-09126945137,,منطقه 4,"
                           رسالت خ فرجام خ سراج روبروی سی متری اول   پلاک: 235 
                        ",,
"
                            کلیه خدمات پست، بیمه، سیم کارت، اینترنت.همراه اول.ایرانسل.رایتل.ثبت احوال وکارت ملی هوشمند.بیمه خدمات درمانی.آب فاضلاب.خدمات تامین اجتماعی.کارت منزلت.فیش حقوقی ارسال پیامک تبلیغاتی .عوارض خودرو تاییدیه تحصیلی.صدور کارت بهداشت .مالیات بر مشاغل .اظهارنامه مالیاتی
                            
",نسرین دیباج,88246567-88246568,9127784638,منطقه 2,"
                           گیشا، نرسیده به بازار نصر، جنب بانک تجارت پ156ط همکف  پلاک: 156 
                        ",,دارد
"
                            تولید انواع لوازم پلاستیک آشپزخانه - لوازم و مصالح بهداشتی ساختمان - لوازم آبیاری باغبانان - ملزومات نظافتی - مصالح و ملزومات ساختمانی - سیستم اجرایی آشپزخانه و کابینت - تزئینات داخلی ساختمان - ابزارآلات ساختمانی و یراقتولید کننده لوازم لوکس آشپزخانه و لوازم بهداشتی ساختمانی و لوازم باغبانی
                            
",جلال قاسمی,36676734-36676654,9121035091,حومه تهران,"
                           خاور شهر - عباس آباد علاقمند - خ نیلوفر پنجم   پلاک: 784/1 
                        ",دارد,دارد
"
                            خدمات و تعمیرات تلفن و بی سیم های پاناسونیک
                            
",حمیدرضا سیداحمدی,36612349-33945193,9128939310,منطقه 12,"
                           لاله زار جنوبی پاساژ حضرت ابوالفضل (ع) طبقه اول (بالای همکف)  پلاک: 65 
                        ",,
"
                            باشگاه فرهنگی ورزشی
                            
",محمدرضا سوخته سرایی,44409393-44428877- (تلگرام: 09122105654),,منطقه 5,"
                           همت غرب، شاهین شمالی ، بیست متری گلستان  
                        ",,
"
                            تهیه و توزیع پخش انواع مصالح ساختمانی 
                            
",غلامحسین  بنویدی,88697071-88697072,9121147474,منطقه 2,"
                           سعادت آباد، خ دریا، چ مطهری ، خ ارغوان شرقی  پلاک: 49و47 
                        ",,
"
                            عرضه انواع قهوه (بصورت باز و بسته بندی )و نسکافه، شکلات، پاستیل
                            
",محمود فرید,77091291,,منطقه 8,"
                           میدان رسالت، خ مدنی شمالی، جنب کوچه خلیلی 
                        ",,
"
                            تولید و پخش کالای خواب
                            
",سیدامین موذن,66970109,,منطقه 11,"
                           خ فلسطین، خ لبافی نژاد پاساژ فلسطین طبقه 4 واحد 3
                        ",دارد,
"
                            خرید، فروش، رهن، اجاره و مشارکت در ساخت
                            
",جعفر زاهدی,55723337-55773728-09195536406,9128387047,منطقه 10,"
                           انتهای جیحون، خ شهید رنجبر، چهارراه شهید نوری، به سمت میدان بریانک  پلاک: 125 
                        ",,
"
                            تولید و پخش انواع کیفهای مسافرتی ، مدرسه ای، ورزشی و کمری
                            
",زین العابدین مجدی,33997299,9366323018,منطقه 12,"
                           خ پانزده خرداد غربی، بازارچه عودلاجان، ک حکیم ، نبش بن بست اول  پلاک: 2 
                        ",,
"
                            تولید انواع پاکت و ساک های تبلیغاتی، مجهز به دستگاه های اتوماتیک
                            
",هادی خطیبی,77638307,9124758092,منطقه 12,"
                           خ ظهیرالاسلام، چهارراه خانقاه، مجتمع تجاری تهران کاغذ، طبقه زیرهمکف، واحد 2 
                        ",,
"
                            مشاوره و صدور انواع بیمه نامه
                            
",مهدخت جعفری,44049680- 44967593,9127332757,منطقه 5,"
                           آیت اله کاشانی، ابتدای جنت آباد ، ساختمان الماس  پلاک: 28 طبقه اول واحد 15
                        ",,
"
                            بورس سنگهای اصل
                            
",مسعود ذکائی,33944011,,منطقه 12,"
                           خ حمهوری ، روبروی مسجد هدایت ، واحد 171 و 311  پاساژ پروانه 
                        ",,
"
                            کرایه انواع اتومبیل، تزئین ماشین عروس، هدیه ما به شما دسته گل عروس
                            
",مجتبی و سجاد حسینی,55356489,"09123975095,09397814044",منطقه 16,"
                           نازی آباد، ابتدای خ پارس، حد فاصل کوچه زرگر و بدلی گیوی  پلاک: 47 
                        ",,
"
                            دوربین مدار بسته و سیستم های حفاظتی
                            
",سعید شاه بابا,66740120,,منطقه 12,"
                           جمهوری، تقاطع حافظ  پاساژ نادری طبقه زیرهمکف، پلاک 21 
                        ",,دارد
"
                            بلبرینگ سوزنی، نیدل و رول برینگ و لاینر
                            
",محمد سلطانیه,33115278,9123113058,منطقه 12,"
                           خ امیرکبیر کوچه ناظم الاطباء شمالی پاساژ امام حسین (ع) طبقه همکف  پلاک: 1/2 
                        ",,
"
                            آتلیه خوشنویسی
                            
",محمدعلی عشقی,44092758,,منطقه 5,"
                           بلوارکاشانی، روبروی پمپ بنزین، جنب دندانپزشکی 
                        ",,
"
                            فروش کلیه مصالح ساختمانی و انواع موزائیک
                            
",بهروز اسماعیلی,22318586-22318687,,منطقه 3,"
                           بزرگراه رسالت، استاد حسن بنا شمالی، بالاتر از میدان ملت، جنب تالار ستاره  پلاک: 827 
                        ",,
"
                            هلال احمر
                            
",,3226085,,حومه تهران,"
                           خیابان شهید بهشتی ، ساختمان هلال احمر 
                        ",,
"
                            کرکره اتوماتیک، جک پارکینگی، شیشه اتوماتیک
                            
",میریوسف  منافی خسروشاهی,26532389-26532219,9122151040,حومه تهران,"
                           جاده اصلی فشم، کیلومتر اول، ابتدای زردبند، پلاک 104 
                        ",,
"
                            سازنده انواع چاقو های قصابی، رستوران، کبابی، مسقل، تیز کردن انواع تیغ و پنجره چرخ گوشت، تعمیر چرخ گوشت و تعمیر سر روده چاقو خانگی، قصابی، رستوران، تیغ سبزی صنعتی و خانگی، تیغ کالباس بر، تیز کردن قیچی های خیاطی، خانگی، آرایشی و صنعتی -  با بیش از 30 سال سابقه
                            
",حسین معزی,56347735,9123493816,حومه تهران,"
                           اسلامشهر، خیابان 20 متری امام خمینی (ره)، نبش کوچه 3 
                        ",,
"
                            یخدان سازی
                            
",غلام رضا کیکاوسی,55624228,9380839963,منطقه 12,"
                           خ پانزده خرداد، بازارآهنگرها کوچه دستجردی (غریبان)  پلاک: 103 
                        ",,
"
                            تولید مبلمان اداری
                            
",شهریار وکیلی,55253222,9123446288,حومه تهران,"
                           جاده ساوه، شهرک صنعتی چهاردانگه، خیابان سوم، تقاطع میلاد  پلاک: 14 
                        ",دارد,
